sympy,natural_language
"ForAll(u, (k(w, v) == b) | (T(v, y, a)))","For all u, k(w, v) equals b or T of v and y and a."
"ForAll(z, ((Implies(k(a, w) == v, W(y))) | (Implies(V(a, z), k(w) == w))) & ((Equivalent(m(a) == a, g(w) == z)) & ((Q(x)) | (V(b, y, a)))))","For all z, If k(a, w) equals v, then W of y or If V of a and z, then k(w) equals w and m(a) equals a if and only if g(w) equals z and Q of x or V of b and y and a."
"Exists(x, Equivalent((m(x) == z) | (f(y) == x), (k(v) == v) & (g(b) == v)))",There exists an x such that m(x) equals z or f(y) equals x if and only if k(v) equals v and g(b) equals v.
"Exists(x, Exists(u, (((h(v, a) == a) | (h(u) == b)) | (~(Q(z, y, u)))) & (~(~(h(b) == a)))))","There exists an x such that There exists an u such that h(v, a) equals a or h(u) equals b or not (Q of z and y and u) and not (not (h(b) equals a))."
"Exists(x, ForAll(z, Equivalent((P(v)) | (g(b, a) == w), (h(x) == z) | (f(w, z) == x))))","There exists an x such that For all z, P of v or g(b, a) equals w if and only if h(x) equals z or f(w, z) equals x."
"ForAll(u, h(w, x) == y)","For all u, h(w, x) equals y."
"Implies(m(c, u) == a, m(c, b) == x)","If m(c, u) equals a, then m(c, b) equals x."
"ForAll(u, k(u, w) == u)","For all u, k(u, w) equals u."
"Exists(z, Exists(c, (~(S(b))) | ((P(y, v)) & (f(x, b) == u))))","There exists an z such that There exists an c such that not (S of b) or P of y and v and f(x, b) equals u."
"~(f(u, b) == x)","not (f(u, b) equals x)."
"Exists(v, Equivalent((k(a) == u) & (f(v, y) == y), (Q(v)) & (W(w))))","There exists an v such that k(a) equals u and f(v, y) equals y if and only if Q of v and W of w."
"ForAll(y, f(z, a) == u)","For all y, f(z, a) equals u."
"Exists(a, ~(S(b, w, x)))",There exists an a such that not (S of b and w and x).
"Exists(a, ForAll(b, g(u) == b))","There exists an a such that For all b, g(u) equals b."
"ForAll(w, (Implies(W(u), U(x, w, b))) & (Implies(W(y, z), Q(z, b, u))))","For all w, If W of u, then U of x and w and b and If W of y and z, then Q of z and b and u."
"Exists(y, ForAll(c, Implies(h(y) == x, T(a, z, b))))","There exists an y such that For all c, If h(y) equals x, then T of a and z and b."
"ForAll(v, Implies(Implies(~(h(y) == z), Implies(U(w, y), S(y, u, x))), Equivalent((T(c, v, x)) & (f(a, y) == w), ~(P(y, b, x)))))","For all v, If If not (h(y) equals z), then If U of w and y, then S of y and u and x, then T of c and v and x and f(a, y) equals w if and only if not (P of y and b and x)."
"(U(z)) | (Q(x, b, y))",U of z or Q of x and b and y.
"Equivalent(T(u, b, v), V(u))",T of u and b and v if and only if V of u.
"Equivalent(Implies(m(v, u) == y, m(x, y) == a), (Q(u, z, w)) & (S(x)))","If m(v, u) equals y, then m(x, y) equals a if and only if Q of u and z and w and S of x."
"Equivalent(P(u, y, a), Q(w, u))",P of u and y and a if and only if Q of w and u.
"Exists(w, ForAll(u, h(a, v) == b))","There exists an w such that For all u, h(a, v) equals b."
"(W(v, a)) | (P(a, b))",W of v and a or P of a and b.
"m(u, a) == y","m(u, a) equals y."
"Exists(a, (Equivalent(m(b) == w, S(v, b))) & (Implies(g(z, x) == u, g(y) == v)))","There exists an a such that m(b) equals w if and only if S of v and b and If g(z, x) equals u, then g(y) equals v."
"ForAll(z, ForAll(b, Q(u, v, z)))","For all z, For all b, Q of u and v and z."
"m(w, x) == b","m(w, x) equals b."
"Exists(c, (Implies(m(a) == w, k(u) == w)) & (Equivalent(U(b, u, c), Q(y, z, c))))","There exists an c such that If m(a) equals w, then k(u) equals w and U of b and u and c if and only if Q of y and z and c."
"Exists(y, W(z, u, w))",There exists an y such that W of z and u and w.
"f(y, v) == b","f(y, v) equals b."
"ForAll(v, ForAll(y, Equivalent(S(x, b), m(x) == b)))","For all v, For all y, S of x and b if and only if m(x) equals b."
"ForAll(z, ForAll(v, h(b, z) == x))","For all z, For all v, h(b, z) equals x."
"ForAll(y, (R(u, c, y)) | (W(x, b)))","For all y, R of u and c and y or W of x and b."
"Equivalent(k(y) == z, f(w) == x)",k(y) equals z if and only if f(w) equals x.
"Exists(v, Exists(z, (Q(a, u)) | (U(b, z))))",There exists an v such that There exists an z such that Q of a and u or U of b and z.
"ForAll(w, ((V(v)) | (m(y, c) == z)) | ((W(a, z, x)) & (S(z, u, x))))","For all w, V of v or m(y, c) equals z or W of a and z and x and S of z and u and x."
"ForAll(z, h(c, z) == z)","For all z, h(c, z) equals z."
"ForAll(x, Exists(x, Implies(R(b, y, u), U(b, z, w))))","For all x, There exists an x such that If R of b and y and u, then U of b and z and w."
"ForAll(y, P(y, w, c))","For all y, P of y and w and c."
"Exists(z, Implies(U(x, c), U(a, y)))","There exists an z such that If U of x and c, then U of a and y."
"ForAll(v, ForAll(z, W(v, b, c)))","For all v, For all z, W of v and b and c."
"k(x, a) == b","k(x, a) equals b."
"ForAll(w, T(u, a, z))","For all w, T of u and a and z."
"ForAll(z, (Implies(V(z), m(w) == w)) & (Implies(V(x, c, w), f(u, c) == a)))","For all z, If V of z, then m(w) equals w and If V of x and c and w, then f(u, c) equals a."
"ForAll(c, P(y, a))","For all c, P of y and a."
"ForAll(a, ForAll(c, h(c) == b))","For all a, For all c, h(c) equals b."
"Exists(a, (T(u, z)) | (V(v)))",There exists an a such that T of u and z or V of v.
"Exists(a, (Implies(g(c, a) == u, h(b) == x)) & ((g(w, v) == x) & (g(w, z) == v)))","There exists an a such that If g(c, a) equals u, then h(b) equals x and g(w, v) equals x and g(w, z) equals v."
"Implies((Q(w)) | (R(v, w, b)), (U(x, v, w)) | (S(u, c)))","If Q of w or R of v and w and b, then U of x and v and w or S of u and c."
"ForAll(y, ForAll(a, Implies(Equivalent(S(z, y), W(c)), Equivalent(P(u, c, v), S(b, u, y)))))","For all y, For all a, If S of z and y if and only if W of c, then P of u and c and v if and only if S of b and u and y."
"ForAll(x, h(y, b) == c)","For all x, h(y, b) equals c."
"Exists(v, Equivalent(Q(w), f(c) == x))",There exists an v such that Q of w if and only if f(c) equals x.
"ForAll(y, ((f(a) == w) & (Q(v))) | ((f(u, c) == a) | (f(a) == u)))","For all y, f(a) equals w and Q of v or f(u, c) equals a or f(a) equals u."
"Exists(a, (h(y, c) == v) | (g(x, w) == x))","There exists an a such that h(y, c) equals v or g(x, w) equals x."
"ForAll(u, (Implies((R(a)) | (S(x)), Implies(m(x) == a, f(u, y) == z))) | (Equivalent(Implies(Q(b, c), m(u) == c), (S(v)) | (W(u, w, z)))))","For all u, If R of a or S of x, then If m(x) equals a, then f(u, y) equals z or If Q of b and c, then m(u) equals c if and only if S of v or W of u and w and z."
"Exists(y, Exists(c, Equivalent(~(U(b, x, v)), Equivalent(m(v) == v, W(v, z, u)))))",There exists an y such that There exists an c such that not (U of b and x and v) if and only if m(v) equals v if and only if W of v and z and u.
"ForAll(a, ForAll(v, ~((m(z) == w) | (f(u, z) == u))))","For all a, For all v, not (m(z) equals w or f(u, z) equals u)."
"Exists(a, ForAll(x, ((~(W(z, a, w))) | (~(f(z, u) == v))) & (Equivalent(Equivalent(g(c) == x, V(y, z)), Implies(U(c, z), h(c) == a)))))","There exists an a such that For all x, not (W of z and a and w) or not (f(z, u) equals v) and g(c) equals x if and only if V of y and z if and only if If U of c and z, then h(c) equals a."
"ForAll(v, ForAll(v, U(w)))","For all v, For all v, U of w."
"Equivalent((Equivalent(m(x, c) == z, P(c))) & ((f(y) == a) & (S(w))), Implies((T(y, v, w)) | (U(x, b, u)), Equivalent(W(a, z, x), g(v, x) == b)))","m(x, c) equals z if and only if P of c and f(y) equals a and S of w if and only if If T of y and v and w or U of x and b and u, then W of a and z and x if and only if g(v, x) equals b."
"Exists(a, (((g(w) == x) & (k(x, z) == y)) | (Implies(f(u) == u, R(w)))) | (Implies((f(c, y) == b) | (Q(y)), ~(V(u)))))","There exists an a such that g(w) equals x and k(x, z) equals y or If f(u) equals u, then R of w or If f(c, y) equals b or Q of y, then not (V of u)."
"Exists(x, Exists(v, W(y)))",There exists an x such that There exists an v such that W of y.
"Exists(y, (f(a) == v) | (T(v, x)))",There exists an y such that f(a) equals v or T of v and x.
"ForAll(b, Equivalent(~(~(k(z) == y)), Equivalent((m(y) == u) | (g(b, c) == u), (R(c)) & (k(w) == u))))","For all b, not (not (k(z) equals y)) if and only if m(y) equals u or g(b, c) equals u if and only if R of c and k(w) equals u."
"ForAll(y, Exists(c, Implies(((R(x, w)) | (R(y, z))) | (Equivalent(h(y) == a, W(y, v))), ((R(w)) | (k(c) == c)) | (Implies(m(z) == z, f(c) == a)))))","For all y, There exists an c such that If R of x and w or R of y and z or h(y) equals a if and only if W of y and v, then R of w or k(c) equals c or If m(z) equals z, then f(c) equals a."
"ForAll(b, ((f(y, w) == z) & (k(b, u) == c)) | ((h(y, c) == b) | (k(a) == c)))","For all b, f(y, w) equals z and k(b, u) equals c or h(y, c) equals b or k(a) equals c."
"Exists(x, m(a) == z)",There exists an x such that m(a) equals z.
"ForAll(w, ForAll(c, (Implies(k(x) == y, m(w) == w)) | (Equivalent(k(u, z) == w, S(z, v, a)))))","For all w, For all c, If k(x) equals y, then m(w) equals w or k(u, z) equals w if and only if S of z and v and a."
"ForAll(x, Equivalent(~((g(b, z) == w) | (R(a, u, c))), (Equivalent(f(c) == y, h(b) == c)) & ((f(b, v) == v) & (T(y)))))","For all x, not (g(b, z) equals w or R of a and u and c) if and only if f(c) equals y if and only if h(b) equals c and f(b, v) equals v and T of y."
"Equivalent(m(v) == x, g(v, y) == w)","m(v) equals x if and only if g(v, y) equals w."
"Implies(Implies(S(a, b), V(b)), ~(g(v) == y))","If If S of a and b, then V of b, then not (g(v) equals y)."
"Implies(Equivalent(~(m(z) == b), Equivalent(U(a), U(c))), ~(Implies(k(v, c) == z, h(v, w) == a)))","If not (m(z) equals b) if and only if U of a if and only if U of c, then not (If k(v, c) equals z, then h(v, w) equals a)."
(V(w)) & (P(x)),V of w and P of x.
"Equivalent((S(z)) & (U(y, u)), Equivalent(f(a) == c, T(v, a)))",S of z and U of y and u if and only if f(a) equals c if and only if T of v and a.
"ForAll(z, ForAll(c, (h(z, x) == z) | (T(u, y))))","For all z, For all c, h(z, x) equals z or T of u and y."
"Exists(v, (R(x)) & (m(x) == a))",There exists an v such that R of x and m(x) equals a.
"ForAll(v, Equivalent((Equivalent(R(b, a, v), W(z, c, b))) | (Equivalent(h(b, z) == a, R(y, b))), ((W(y, b, c)) | (S(u, b))) & ((U(z)) | (S(a)))))","For all v, R of b and a and v if and only if W of z and c and b or h(b, z) equals a if and only if R of y and b if and only if W of y and b and c or S of u and b and U of z or S of a."
"Exists(b, Implies(R(w), g(w) == c))","There exists an b such that If R of w, then g(w) equals c."
"(Implies((U(v, c, b)) & (m(z) == b), Equivalent(Q(z, x), g(c, b) == y))) | (~((R(x)) & (U(a))))","If U of v and c and b and m(z) equals b, then Q of z and x if and only if g(c, b) equals y or not (R of x and U of a)."
"Exists(c, m(b, c) == w)","There exists an c such that m(b, c) equals w."
"ForAll(x, ((f(u) == x) & (g(y, w) == y)) | (Implies(Q(x), R(w, x, b))))","For all x, f(u) equals x and g(y, w) equals y or If Q of x, then R of w and x and b."
"ForAll(u, (k(u) == b) | (V(x)))","For all u, k(u) equals b or V of x."
"~(k(z, x) == y)","not (k(z, x) equals y)."
"Exists(z, ForAll(v, Implies(~(Implies(P(b, z, w), m(u, c) == u)), ((g(z) == b) & (T(z))) & (~(V(c, z, b))))))","There exists an z such that For all v, If not (If P of b and z and w, then m(u, c) equals u), then g(z) equals b and T of z and not (V of c and z and b)."
"ForAll(u, U(w, a, b))","For all u, U of w and a and b."
"Exists(v, ~(Implies(f(u) == b, S(a, w))))","There exists an v such that not (If f(u) equals b, then S of a and w)."
"Exists(u, Implies(Q(z, x), P(a, y)))","There exists an u such that If Q of z and x, then P of a and y."
"(Equivalent((f(a, x) == a) & (T(c)), Implies(g(u) == v, Q(x)))) | ((Equivalent(h(v, y) == w, h(a, z) == u)) & ((W(a, x)) & (P(y))))","f(a, x) equals a and T of c if and only if If g(u) equals v, then Q of x or h(v, y) equals w if and only if h(a, z) equals u and W of a and x and P of y."
"ForAll(a, Implies(~((R(a, x)) | (Q(w, b, x))), Implies((P(b, y)) | (P(a, b, x)), ~(Q(x, v)))))","For all a, If not (R of a and x or Q of w and b and x), then If P of b and y or P of a and b and x, then not (Q of x and v)."
~(P(a)),not (P of a).
"Exists(y, Exists(a, (Implies(k(u) == y, g(a) == z)) & ((k(y) == w) & (W(x)))))","There exists an y such that There exists an a such that If k(u) equals y, then g(a) equals z and k(y) equals w and W of x."
"((Q(x)) & (m(b, y) == v)) | (Implies(m(c) == c, m(w) == u))","Q of x and m(b, y) equals v or If m(c) equals c, then m(w) equals u."
"m(a, b) == u","m(a, b) equals u."
"(((f(a, y) == z) | (h(b) == b)) | (Implies(V(z, u), m(b) == x))) & (((S(b)) & (W(c, z, x))) | (Equivalent(P(v, y, a), U(c))))","f(a, y) equals z or h(b) equals b or If V of z and u, then m(b) equals x and S of b and W of c and z and x or P of v and y and a if and only if U of c."
"ForAll(w, ForAll(a, Implies(Equivalent(Implies(m(y) == c, h(z) == y), (W(c, w, u)) & (R(x, c, z))), ((S(a)) | (V(y, c))) & ((m(z, a) == c) | (k(x, v) == x)))))","For all w, For all a, If If m(y) equals c, then h(z) equals y if and only if W of c and w and u and R of x and c and z, then S of a or V of y and c and m(z, a) equals c or k(x, v) equals x."
"ForAll(c, ~((Implies(T(c, u), k(y, b) == a)) & ((h(a, u) == v) | (W(c, v)))))","For all c, not (If T of c and u, then k(y, b) equals a and h(a, u) equals v or W of c and v)."
~(~(m(a) == v)),not (not (m(a) equals v)).
"ForAll(y, (m(x) == a) & (k(z, b) == y))","For all y, m(x) equals a and k(z, b) equals y."
"ForAll(w, ~(Equivalent(S(w, z, a), V(y, u, c))))","For all w, not (S of w and z and a if and only if V of y and u and c)."
"Exists(y, Implies(U(c, y), h(z) == w))","There exists an y such that If U of c and y, then h(z) equals w."
h(u) == v,h(u) equals v.
"ForAll(w, ForAll(a, Equivalent(~((f(v) == c) & (W(c, z))), (Equivalent(m(u) == w, k(c, a) == c)) & ((h(v, y) == w) | (h(y) == y)))))","For all w, For all a, not (f(v) equals c and W of c and z) if and only if m(u) equals w if and only if k(c, a) equals c and h(v, y) equals w or h(y) equals y."
"Exists(u, Q(a, x))",There exists an u such that Q of a and x.
"Exists(a, Implies(Implies((T(w)) & (m(a) == b), ~(g(c, v) == z)), (Equivalent(m(a, b) == a, k(z, x) == v)) | ((k(c, x) == b) | (g(c) == x))))","There exists an a such that If If T of w and m(a) equals b, then not (g(c, v) equals z), then m(a, b) equals a if and only if k(z, x) equals v or k(c, x) equals b or g(c) equals x."
"(U(v, x)) & (U(w, u))",U of v and x and U of w and u.
"Exists(w, Equivalent(Equivalent((g(a, b) == b) & (g(y, a) == x), (U(c)) & (m(x, c) == c)), (Equivalent(k(u) == y, k(v) == b)) | (Implies(V(y, z, w), P(u)))))","There exists an w such that g(a, b) equals b and g(y, a) equals x if and only if U of c and m(x, c) equals c if and only if k(u) equals y if and only if k(v) equals b or If V of y and z and w, then P of u."
"ForAll(x, Implies((Implies(g(v, z) == v, S(c, w, z))) | ((f(a) == v) & (h(w, z) == u)), Implies(Equivalent(h(y, b) == b, T(z)), (V(z, y, u)) & (f(y) == a))))","For all x, If If g(v, z) equals v, then S of c and w and z or f(a) equals v and h(w, z) equals u, then If h(y, b) equals b if and only if T of z, then V of z and y and u and f(y) equals a."
"ForAll(y, Implies((Equivalent(S(w, u), f(y) == c)) | ((m(a) == w) & (h(w, v) == v)), (Equivalent(S(b, y), U(u, y, b))) | (Equivalent(m(a, z) == x, k(b) == y))))","For all y, If S of w and u if and only if f(y) equals c or m(a) equals w and h(w, v) equals v, then S of b and y if and only if U of u and y and b or m(a, z) equals x if and only if k(b) equals y."
"Exists(b, ForAll(y, ((~(S(b, z, v))) | ((Q(c)) | (f(z, u) == z))) | (~(~(R(u))))))","There exists an b such that For all y, not (S of b and z and v) or Q of c or f(z, u) equals z or not (not (R of u))."
"Exists(w, ForAll(w, Equivalent(~(~(k(x) == c)), Equivalent(Implies(f(x, u) == c, g(c) == x), (U(v)) & (m(y, x) == x)))))","There exists an w such that For all w, not (not (k(x) equals c)) if and only if If f(x, u) equals c, then g(c) equals x if and only if U of v and m(y, x) equals x."
"ForAll(a, (~(~(V(a, c)))) & ((~(h(y, c) == u)) & (~(m(y, a) == v))))","For all a, not (not (V of a and c)) and not (h(y, c) equals u) and not (m(y, a) equals v)."
"Exists(y, Implies((~(g(b, x) == c)) & (Equivalent(W(y, w), V(z, w))), Equivalent(Equivalent(S(z, x, b), U(b, z)), ~(P(w, z, x)))))","There exists an y such that If not (g(b, x) equals c) and W of y and w if and only if V of z and w, then S of z and x and b if and only if U of b and z if and only if not (P of w and z and x)."
"Exists(b, ForAll(z, (Implies(~(T(a, z)), Equivalent(R(v, y, c), g(v, z) == z))) & ((~(T(w, v, y))) | (~(h(b, x) == w)))))","There exists an b such that For all z, If not (T of a and z), then R of v and y and c if and only if g(v, z) equals z and not (T of w and v and y) or not (h(b, x) equals w)."
"Exists(x, Exists(a, P(y, a, c)))",There exists an x such that There exists an a such that P of y and a and c.
"ForAll(x, Equivalent(((g(c) == w) | (Q(b))) & ((k(y) == z) & (U(x, b))), ((Q(w)) & (R(b, y, a))) & (Equivalent(f(w) == u, R(u, x, b)))))","For all x, g(c) equals w or Q of b and k(y) equals z and U of x and b if and only if Q of w and R of b and y and a and f(w) equals u if and only if R of u and x and b."
"Exists(b, Exists(x, Implies(((T(c, w, b)) | (g(c) == b)) | (Equivalent(h(v) == v, Q(c, z))), Equivalent((Q(x)) | (h(z) == w), (T(u, w)) & (h(w) == z)))))","There exists an b such that There exists an x such that If T of c and w and b or g(c) equals b or h(v) equals v if and only if Q of c and z, then Q of x or h(z) equals w if and only if T of u and w and h(w) equals z."
"Exists(w, (T(v, u, c)) | (g(u, a) == v))","There exists an w such that T of v and u and c or g(u, a) equals v."
"Exists(y, k(x, a) == w)","There exists an y such that k(x, a) equals w."
"Equivalent((P(x, w, a)) & (f(b) == v), Equivalent(Q(b), f(z) == w))",P of x and w and a and f(b) equals v if and only if Q of b if and only if f(z) equals w.
"Exists(w, (U(u, w)) | (f(x) == y))",There exists an w such that U of u and w or f(x) equals y.
V(x),V of x.
"Exists(x, g(w) == v)",There exists an x such that g(w) equals v.
"ForAll(y, Equivalent(((g(b) == c) & (m(x, u) == y)) & ((m(v) == x) | (T(w))), ((f(c) == v) | (U(z, w, c))) & ((g(w) == a) & (V(b)))))","For all y, g(b) equals c and m(x, u) equals y and m(v) equals x or T of w if and only if f(c) equals v or U of z and w and c and g(w) equals a and V of b."
"Exists(x, ((~(T(z, u))) | ((h(u, x) == x) | (k(z, w) == w))) & ((Implies(S(a, w), g(z, v) == y)) & ((R(z, u, a)) & (U(y, c)))))","There exists an x such that not (T of z and u) or h(u, x) equals x or k(z, w) equals w and If S of a and w, then g(z, v) equals y and R of z and u and a and U of y and c."
"ForAll(u, ((m(u, x) == z) | (V(b, u))) | (Implies(U(b, w), h(y) == z)))","For all u, m(u, x) equals z or V of b and u or If U of b and w, then h(y) equals z."
"ForAll(x, Equivalent(((U(w, z)) | (W(b, x))) & (~(f(w) == z)), (Implies(R(y), m(c) == b)) & ((f(c) == a) | (h(w) == b))))","For all x, U of w and z or W of b and x and not (f(w) equals z) if and only if If R of y, then m(c) equals b and f(c) equals a or h(w) equals b."
"Implies((V(z)) | (g(w, v) == x), (g(x) == z) & (m(u) == z))","If V of z or g(w, v) equals x, then g(x) equals z and m(u) equals z."
"Exists(w, ForAll(b, ((R(c, y, x)) | (h(x) == z)) | (~(T(z)))))","There exists an w such that For all b, R of c and y and x or h(x) equals z or not (T of z)."
"Exists(u, Exists(v, Implies(U(u), Q(a))))","There exists an u such that There exists an v such that If U of u, then Q of a."
"Exists(y, S(b, c))",There exists an y such that S of b and c.
"ForAll(b, ~(P(z, y, u)))","For all b, not (P of z and y and u)."
"ForAll(a, Equivalent((S(y, x, z)) | (T(y, a, u)), Equivalent(Q(a), f(w) == a)))","For all a, S of y and x and z or T of y and a and u if and only if Q of a if and only if f(w) equals a."
"Exists(u, Exists(u, Equivalent(V(w), f(v, c) == v)))","There exists an u such that There exists an u such that V of w if and only if f(v, c) equals v."
"Exists(z, ForAll(y, Equivalent(f(a, z) == b, V(z))))","There exists an z such that For all y, f(a, z) equals b if and only if V of z."
"Exists(b, (Equivalent(U(c, w, z), P(c))) | ((V(z, u, w)) | (f(v, u) == u)))","There exists an b such that U of c and w and z if and only if P of c or V of z and u and w or f(v, u) equals u."
"ForAll(w, Exists(a, Implies(S(u, c), g(u) == y)))","For all w, There exists an a such that If S of u and c, then g(u) equals y."
"ForAll(w, Implies(Implies(m(b, w) == b, h(w) == u), Implies(k(c, a) == y, R(y, z))))","For all w, If If m(b, w) equals b, then h(w) equals u, then If k(c, a) equals y, then R of y and z."
"ForAll(a, ((R(w, c)) & (k(b, z) == y)) | (Implies(g(w) == y, Q(v, x))))","For all a, R of w and c and k(b, z) equals y or If g(w) equals y, then Q of v and x."
"Exists(u, h(u, x) == b)","There exists an u such that h(u, x) equals b."
"ForAll(y, Exists(z, Q(b)))","For all y, There exists an z such that Q of b."
"Exists(z, m(y, v) == w)","There exists an z such that m(y, v) equals w."
"(Equivalent(Implies(k(y) == b, P(c, a, b)), (W(b)) | (g(a, w) == a))) & (~((P(w, z, a)) & (m(x) == w)))","If k(y) equals b, then P of c and a and b if and only if W of b or g(a, w) equals a and not (P of w and z and a and m(x) equals w)."
"ForAll(u, Implies(R(y, v, c), k(y) == a))","For all u, If R of y and v and c, then k(y) equals a."
"Exists(x, Equivalent(Implies(~(S(y)), (h(c) == a) | (R(b, u, z))), ((R(z)) | (W(u, c, v))) | (~(k(w) == u))))","There exists an x such that If not (S of y), then h(c) equals a or R of b and u and z if and only if R of z or W of u and c and v or not (k(w) equals u)."
"ForAll(w, Implies(Implies((f(a) == b) & (V(x)), ~(V(y))), (Equivalent(R(y, b, w), h(a, b) == u)) & ((S(u)) & (R(c)))))","For all w, If If f(a) equals b and V of x, then not (V of y), then R of y and b and w if and only if h(a, b) equals u and S of u and R of c."
"Exists(u, Implies(U(a), R(w, u)))","There exists an u such that If U of a, then R of w and u."
"ForAll(z, ForAll(b, Implies(Implies(Implies(P(v, a, w), h(u) == x), Equivalent(f(z, x) == y, g(x, v) == a)), Equivalent((k(w) == w) & (Q(w)), Equivalent(f(w) == w, f(a) == u)))))","For all z, For all b, If If If P of v and a and w, then h(u) equals x, then f(z, x) equals y if and only if g(x, v) equals a, then k(w) equals w and Q of w if and only if f(w) equals w if and only if f(a) equals u."
"g(z, x) == y","g(z, x) equals y."
"Exists(a, Q(u, c))",There exists an a such that Q of u and c.
"Exists(x, Exists(v, Implies((Equivalent(g(z) == a, g(z) == z)) & ((U(c, b)) & (h(u) == v)), Equivalent((g(c) == w) | (R(x)), ~(P(w, b))))))","There exists an x such that There exists an v such that If g(z) equals a if and only if g(z) equals z and U of c and b and h(u) equals v, then g(c) equals w or R of x if and only if not (P of w and b)."
"Exists(v, V(c))",There exists an v such that V of c.
"ForAll(a, (Implies((h(a) == u) & (k(v) == w), (h(b) == u) & (h(z, b) == b))) | (~((S(x, w)) | (f(w) == w))))","For all a, If h(a) equals u and k(v) equals w, then h(b) equals u and h(z, b) equals b or not (S of x and w or f(w) equals w)."
"ForAll(v, (~(m(c, w) == a)) | (Equivalent(k(v) == w, g(v, y) == v)))","For all v, not (m(c, w) equals a) or k(v) equals w if and only if g(v, y) equals v."
"(Equivalent(k(x, z) == z, U(c, a, y))) | ((T(y, u, c)) & (W(z)))","k(x, z) equals z if and only if U of c and a and y or T of y and u and c and W of z."
"Exists(a, (((g(a, w) == w) & (P(u))) | (~(m(v, a) == y))) | (Implies(Equivalent(U(y, z, a), W(w)), Implies(g(w, b) == x, S(y, v, w)))))","There exists an a such that g(a, w) equals w and P of u or not (m(v, a) equals y) or If U of y and z and a if and only if W of w, then If g(w, b) equals x, then S of y and v and w."
"ForAll(c, ForAll(z, (~(Implies(f(v) == z, g(x) == u))) | (Implies((g(x) == v) & (m(c, a) == c), (g(a, x) == z) & (k(y, b) == v)))))","For all c, For all z, not (If f(v) equals z, then g(x) equals u) or If g(x) equals v and m(c, a) equals c, then g(a, x) equals z and k(y, b) equals v."
"ForAll(u, ((k(w, z) == b) | (S(z))) & ((R(x)) | (V(y, u))))","For all u, k(w, z) equals b or S of z and R of x or V of y and u."
"ForAll(u, ForAll(u, Implies(Implies(V(b, w, a), V(z, b)), (g(z) == v) | (Q(z)))))","For all u, For all u, If If V of b and w and a, then V of z and b, then g(z) equals v or Q of z."
"ForAll(v, Exists(y, Implies((R(c)) | (k(x) == y), Equivalent(P(w, x), k(c, b) == y))))","For all v, There exists an y such that If R of c or k(x) equals y, then P of w and x if and only if k(c, b) equals y."
"Exists(z, h(c) == b)",There exists an z such that h(c) equals b.
"Exists(c, ForAll(u, Equivalent((U(x)) | (k(c, v) == v), (Q(z, y)) & (Q(x)))))","There exists an c such that For all u, U of x or k(c, v) equals v if and only if Q of z and y and Q of x."
"ForAll(c, ForAll(u, Equivalent((~(P(b, v))) | ((R(w, y, v)) & (h(w) == y)), Implies(Implies(h(u) == c, P(w)), ~(R(a, w))))))","For all c, For all u, not (P of b and v) or R of w and y and v and h(w) equals y if and only if If If h(u) equals c, then P of w, then not (R of a and w)."
"Exists(c, Implies(h(b, x) == v, f(b, x) == z))","There exists an c such that If h(b, x) equals v, then f(b, x) equals z."
"~(Implies(g(b, v) == z, g(w) == a))","not (If g(b, v) equals z, then g(w) equals a)."
"ForAll(c, (Implies(Implies(m(x) == a, h(z) == z), (T(y)) | (V(u, x)))) | ((Equivalent(g(u, b) == z, T(z, x, u))) | (~(m(c) == w))))","For all c, If If m(x) equals a, then h(z) equals z, then T of y or V of u and x or g(u, b) equals z if and only if T of z and x and u or not (m(c) equals w)."
"ForAll(y, ForAll(z, S(z, y)))","For all y, For all z, S of z and y."
"(h(w) == c) & (m(c, b) == a)","h(w) equals c and m(c, b) equals a."
"ForAll(x, h(a) == v)","For all x, h(a) equals v."
"ForAll(x, (((k(u, w) == c) | (k(a, v) == y)) & ((R(a)) | (Q(u)))) & ((~(g(c, u) == y)) | ((W(b)) | (T(c, y)))))","For all x, k(u, w) equals c or k(a, v) equals y and R of a or Q of u and not (g(c, u) equals y) or W of b or T of c and y."
"ForAll(y, (k(z) == x) | (S(z, w)))","For all y, k(z) equals x or S of z and w."
"ForAll(w, f(z, v) == u)","For all w, f(z, v) equals u."
"ForAll(b, Exists(u, (P(x, b, u)) | (g(a, u) == u)))","For all b, There exists an u such that P of x and b and u or g(a, u) equals u."
"Exists(b, (~(Implies(V(z, a, u), V(c)))) & (Implies(~(R(c)), Equivalent(R(y), R(b, y)))))","There exists an b such that not (If V of z and a and u, then V of c) and If not (R of c), then R of y if and only if R of b and y."
"~(~(Equivalent(m(x) == c, g(z) == b)))",not (not (m(x) equals c if and only if g(z) equals b)).
"Exists(z, m(c, u) == c)","There exists an z such that m(c, u) equals c."
"Exists(z, Exists(c, V(a, w, b)))",There exists an z such that There exists an c such that V of a and w and b.
"Exists(a, (~(k(v) == c)) | (Equivalent(T(a, x, c), h(x) == b)))",There exists an a such that not (k(v) equals c) or T of a and x and c if and only if h(x) equals b.
"~(Implies(k(c) == x, k(c, w) == v))","not (If k(c) equals x, then k(c, w) equals v)."
"Exists(x, (f(b, u) == v) & (g(c, y) == a))","There exists an x such that f(b, u) equals v and g(c, y) equals a."
"(f(z, y) == x) & (g(x, a) == a)","f(z, y) equals x and g(x, a) equals a."
